ID,Title,Date,Post Type,Capjiki 11,Capjiki 13,Capjiki 15,Capjiki 17,Capjiki 19,Capjiki 21
,09 Juli 2023,2023-7-9 14:14:14,capjiki,enam hitam,tiga hitam,empat hitam,enam merah,enam hitam,empat merah
,10 Juli 2023,2023-7-10 14:14:14,capjiki,satu hitam,empat hitam,empat merah,satu merah,tiga merah,satu merah
,11 Juli 2023,2023-7-11 14:14:14,capjiki,enam merah,empat merah,empat merah,tiga merah,lima hitam,satu hitam
,12 Juli 2023,2023-7-12 14:14:14,capjiki,enam merah,dua merah,empat hitam,tiga merah,enam hitam,empat merah
,13 Juli 2023,2023-7-13 14:14:14,capjiki,tiga merah,satu merah,dua hitam,enam hitam,tiga merah,satu hitam
,14 Juli 2023,2023-7-14 14:14:14,capjiki,dua merah,empat merah,lima merah,tiga hitam,satu hitam,tiga hitam
,15 Juli 2023,2023-7-15 14:14:14,capjiki,satu merah,enam merah,satu merah,enam merah,dua hitam,empat merah
,16 Juli 2023,2023-7-16 14:14:14,capjiki,satu merah,satu hitam,satu hitam,satu hitam,satu merah,satu merah
,17 Juli 2023,2023-7-17 14:14:14,capjiki,tiga hitam,satu hitam,enam hitam,lima hitam,satu hitam,satu merah
,18 Juli 2023,2023-7-18 14:14:14,capjiki,empat merah,satu merah,empat merah,dua merah,lima hitam,satu merah
,19 Juli 2023,2023-7-19 14:14:14,capjiki,enam merah,tiga merah,enam hitam,empat hitam,dua merah,lima hitam
,20 Juli 2023,2023-7-20 14:14:14,capjiki,tiga merah,lima hitam,satu merah,dua merah,empat hitam,tiga hitam
,21 Juli 2023,2023-7-21 14:14:14,capjiki,enam merah,lima hitam,dua hitam,lima merah,satu merah,enam merah
,22 Juli 2023,2023-7-22 14:14:14,capjiki,empat hitam,lima merah,enam merah,dua merah,dua merah,satu merah
,23 Juli 2023,2023-7-23 14:14:14,capjiki,lima hitam,tiga hitam,tiga merah,empat merah,enam merah,satu merah
,24 Juli 2023,2023-7-24 14:14:14,capjiki,satu merah,empat hitam,dua hitam,satu hitam,tiga hitam,enam merah
